loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,Hard,,Medium,0.16,0.84,0,13.817,1,800,400
2,Hard,,Medium,0.2,0.8,0,13.9423,1,800,398
3,Hard,,Hard,0.54,0.45,0.01,12.8773,1,800,400
4,Hard,,Medium,0.42,0.57,0.01,12.0118,1,800,400
5,Hard,,Medium,0,0.69,0.31,8.4598,1,800,1293
6,Hard,,Medium,0.405,0.585,0.01,12.2138,1,800,400
7,Hard,,Medium,0.19,0.8,0.01,13.449,1,800,397
8,Hard,,Medium,0.465,0.535,0,13.3091,1,800,399
9,Hard,,Hard,0.55,0.44,0.01,13.4313,1,800,398
10,Hard,,Medium,0.465,0.53,0.005,13.124,1,800,397
